Title,Creator(s),Genre(s),IMDb Rating
Stranger Things,Matt Duffer/Ross Duffer,Science fiction/Horror/Drama,8.7
Loki,Michael Waldron,Action/Adventure/Crime/Thriller/Fantasy/Drama/Science Fiction/Superhero,8.3
The Mandalorian,Jon Favreau,Action/Adventure/Drama/Science fiction/Western,8.8
The Falcon and the Winter Soldier,Malcolm Spellman,Action/Adventure/Science Fiction/Superhero/Comedy,7.3
What If...?,A.C. Bradley,Action/Adventure/Anthology/Science fiction/Superhero,7.6
Star Wars: The Clone Wars,George Lucas,Science Fiction/Action/Adventure,8.3
